tick,note,measure
59520,21,31
59760,48,31
59760,25,31
60000,48,31
60000,41,31
60000,30,31
60240,32,31
60480,41,31
60480,35,31
60720,32,31
60960,37,31
61200,21,31
61440,48,32
61440,41,32
61680,44,32
61680,33,32
61920,44,32
61920,37,32
62160,48,32
62160,33,32
62400,47,32
62400,40,32
62400,28,32
62640,40,32
62640,33,32
63040,45,32
63120,33,32
63200,46,32
63360,47,33
63360,43,33
63360,40,33
63360,27,33
63600,43,33
63600,32,33
63840,43,33
63840,34,33
64080,47,33
64080,32,33
64320,46,33
64320,39,33
64560,45,33
64560,32,33
64800,45,33
65040,44,33
65040,32,33
65280,46,34
65280,42,34
65280,39,34
65280,26,34
65520,30,34
65760,34,34
66000,35,34
66240,39,34
66480,30,34
66720,34,34
66880,46,34
67040,47,34
67200,47,35
67200,27,35
67440,31,35
67680,44,35
67680,33,35
67920,31,35
68160,48,35
68160,33,35
69120,39,36
69120,41,36
69120,30,36
69360,34,36
69600,37,36
69760,41,36
69840,34,36
69920,40,36
70080,41,36
70080,37,36
70320,38,36
70560,39,36
70720,41,36
70800,30,36
70880,40,36
71040,35,37
71040,37,37
71040,41,37
71040,26,37
71280,42,37
71280,30,37
71520,42,37
71520,34,37
71760,35,37
72000,37,37
72240,39,37
72480,46,37
72480,33,37
72640,44,37
72720,26,37
72800,42,37
72960,34,38
72960,38,38
72960,41,38
72960,22,38
73200,42,38
73200,26,38
73440,35,38
73440,37,38
73440,42,38
73680,33,38
73920,38,38
73920,35,38
74160,33,38
74400,36,38
74560,41,38
74640,29,38
74720,40,38
74880,34,39
74880,38,39
74880,40,39
74880,25,39
75120,41,39
75120,29,39
75360,41,39
75360,33,39
75600,34,39
75840,36,39
76080,34,39
76320,32,39
76560,25,39
76800,37,40
76800,39,40
76800,41,40
76800,44,40
77040,26,40
77280,41,40
77440,44,40
77600,48,40
77760,47,40
77760,42,40
77760,40,40
77760,21,40
77760,28,40
78000,40,40
78000,33,40
78240,35,40
78400,45,40
78480,33,40
78560,46,40
78720,47,41
78720,45,41
78720,43,41
78720,40,41
78720,34,41
78720,27,41
78960,40,41
78960,32,41
79200,43,41
79200,36,41
79440,47,41
79440,32,41
79680,46,41
79680,39,41
79920,45,41
79920,32,41
80160,45,41
80160,39,41
80400,44,41
80400,32,41
80640,46,42
80640,42,42
80640,39,42
80640,32,42
80640,26,42
80880,30,42
81120,34,42
81360,30,42
81600,35,42
81840,30,42
82080,42,42
82080,34,42
82240,46,42
82320,26,42
82400,47,42
82560,47,43
82560,40,43
82560,27,43
82800,31,43
83040,44,43
83040,33,43
83280,31,43
83520,48,43
83520,33,43
83760,31,43
84000,38,43
84000,41,43
84000,34,43
84240,27,43
84480,34,44
84480,37,44
84480,39,44
84480,41,44
84480,23,44
84720,27,44
84960,41,44
84960,32,44
85120,48,44
85200,34,44
85280,47,44
85440,48,44
85440,41,44
85440,37,44
85680,34,44
85920,41,44
85920,30,44
86080,48,44
86160,23,44
86240,47,44
86400,48,45
86400,43,45
86400,41,45
86400,26,45
86640,49,45
86640,30,45
86880,49,45
86880,35,45
87120,37,45
87360,46,45
87360,42,45
87360,39,45
87600,37,45
87840,44,45
87840,33,45
88080,42,45
88080,26,45
88320,48,46
88320,43,46
88320,41,46
88320,22,46
88560,49,46
88560,44,46
88560,42,46
88560,26,46
88800,49,46
88800,44,46
88800,42,46
88800,35,46
89040,33,46
89280,37,46
89280,35,46
89520,33,46
89760,38,46
89760,35,46
89920,48,46
90000,29,46
90080,47,46
90240,47,47
90240,45,47
90240,41,47
90240,25,47
90480,48,47
90480,29,47
90720,48,47
90720,41,47
90720,33,47
90960,34,47
91200,38,47
91200,41,47
91200,36,47
91440,29,47
91680,36,47
91680,32,47
91920,38,47
91920,25,47
92160,48,48
92160,41,48
92400,44,48
92400,33,48
92640,44,48
92640,41,48
92640,37,48
92880,48,48
92880,33,48
93120,47,48
93120,42,48
93120,40,48
93120,28,48
93360,40,48
93360,33,48
93760,45,48
93840,33,48
93920,46,48
94080,47,49
94080,43,49
94080,40,49
94080,27,49
94320,43,49
94320,32,49
94560,50,49
94560,34,49
94800,47,49
94800,27,49
95040,46,49
95040,39,49
95280,45,49
95280,32,49
95520,45,49
95760,44,49
96000,46,50
96000,42,50
96000,39,50
96000,26,50
96240,30,50
96480,34,50
96720,35,50
96960,37,50
97200,39,50
97440,42,50
97600,46,50
97760,47,50
97920,47,51
97920,40,51
97920,27,51
98160,31,51
98400,44,51
98400,33,51
98640,31,51
98880,48,51
98880,33,51
99120,47,51
99360,46,51
99600,45,51
99840,45,52
99840,42,52
99840,39,52
99840,45,52
99840,42,52
99840,39,52
99840,21,52
100080,25,52
100320,30,52
